node   1  (   0,    0) (   4,    3) (   5,    4) (   5,    5) (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2)
          (   1,    1) (   2,    2) (   3,    3) (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1)
          (   2,    2) (   3,    3) (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2)
          (   3,    3) (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   3,    3)
          (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   3,    3) (   3,    3)
          (   1,    1) (   1,    2) (   2,    2) (   7,    1) (   7,    4) (   9,    4) (  16,    8) (  13,   14) (  15,   13) (  17,   13)
          (  14,   10) (  12,    7) (  10,   13) (  10,   11) (   4,   13) (   6,   13) (  12,    8) (  12,   13) (  14,    9) (  16,    6)
          (  13,   12) (  10,    8) (  12,   11) (   3,   10) (   3,   10) (   9,    7) (  11,   10) (  19,   10) (  20,   11) (  17,   12)
          (  27,   19) (  24,   19) (  24,   15) (  25,   14) (  24,   18) (  22,   17) (  19,   22) (  17,   26) (   8,   21) (  14,   16)
          (  13,   15) (  21,   14) (  22,   19) (  23,   25) (  17,   21) (  13,   18) (   7,   12) (   9,   11) (  11,   14) (  10,   12)
          (  10,   11) (   8,    8) (   9,   10) (  18,   14) (  23,   14) (  27,   16) (  21,    8) (  23,   17) (  15,   15) (  16,   22)
          (   8,   18) (   9,   15) (   6,    8) (   4,    7) (   8,    9) (   7,    8) (  16,   12) (  16,   13) (  23,   15) (  31,   17)
          (  27,   17) (  26,   16) (  16,   16) (   7,   15) (   7,   15) (  13,   19) (  21,   20) (  19,   18) (  14,   17) (  13,   17)
          (   8,   10) (  17,   22) (  17,   20) (  25,   20) (  18,   14) (  14,   13) (  20,   12) (  17,   18) (  18,   16) (  12,   12)
          (  10,   17) (  14,   13) (  13,    9) (  19,    8) (  16,    7) (  27,   18) (  21,   17) (  18,   25) (  17,   20) (  12,   21)
          (  13,   18) (  14,   14) (  12,   11) (  13,   11) (  12,   10) (  12,   15) (  16,   13) (  12,   17) (  11,   13) (  13,   16)
          (  11,   15) (   6,   10) (  14,   14) (  13,   13) (  23,   26) (  22,   26) (  24,   20) (  22,   15) (  15,    7) (  15,    8)
          (  17,   17) (  12,   15) (  19,   26) (  19,   23) (  22,   23) (  13,   16) (  14,   17) (   9,   14) (   9,    6) (  15,   10)
          (  15,   14) (  17,   12) (  16,   19) (  10,   14) (   9,   12) (  10,   15) (  12,   14) (  11,   13) (   9,   10) (  16,   12)
          (  11,    8) (  12,    9) (  12,    9) (   8,   12) (  12,    9) (  11,    9) (  12,   13) (   9,    5) (   8,   11) (   4,    8)
          (   3,    5) (   2,    7) (   5,    6) (   8,    3) (  13,    9) (   9,    5) (  13,    9) (   6,   11) (   4,   10) (  13,   16)
